dataset_name,Train,Test,Class,Length,DTW_LOOCV,UCRSuite_LOOCV,EAP_LOOCV,FastWWSearch,FastWWSearch_EA,FastWWSearch_NoLb,EAP_FastWWSearch,EAP_FastWWSearch_EA,EAP_FastWWSearch_NoLb,UltraFastWWSearch_V1,UltraFastWWSearch_V2,UltraFastWWSearch,UltraFastWWSearch-Global,FastWDTW,EAP_FastWDTW,EAP_FastWDTW_EA,UltraFastWDTW-Local,UltraFastWDTW-Global,FastERP,EAP_FastERP,EAP_FastERP_EA,UltraFastERP-Local,UltraFastERP-Global,FastMSM,EAP_FastMSM,EAP_FastMSM_EA,UltraFastMSM-Local,UltraFastMSM-Global,FastTWE,EAP_FastTWE,EAP_FastTWE_EA,UltraFastTWE-Local,UltraFastTWE-Global,FastLCSS,EAP_FastLCSS,EAP_FastLCSS_EA,UltraFastLCSS-Local,UltraFastLCSS-Global
ECGFiveDays,23,861,2,136,3.017909028,2.165706075,0.683872559,0.264523378,0.41200999,0.204535303,0.112837876,0.224738503,0.099167459,0.119691954,0.068604528,0.090681639,0.043994377,1.596313742,1.215971051,0.952432165,0.876095894,1.240443977,1.115193073,0.325267249,0.304438171,0.160320738,0.187681206,2.216624222,0.705630931,0.772784018,0.812967544,0.393643145,1.182896392,0.679302747,0.701382563,0.579443987,0.31612292,0.362971842,0.146444721,0.158968951,0.081858969,0.122425995
EOGHorizontalSignal,362,362,12,1250,58386.35606,8553.020669,2724.095937,664.1355469,902.954716,922.2132386,540.8892326,660.1759329,481.4908176,630.0245593,453.1794795,115.0889346,221.2404758,30128.67193,21912.24345,19564.08138,24465.933,,5435.260993,1801.925165,1583.109069,639.5008571,821.0807124,19408.38054,5157.011212,12761.27993,12522.97738,5127.069838,25651.97111,15696.55509,20618.14128,19880.82612,14349.15497,2523.746094,765.3786476,740.2702369,566.3026951,985.7433563
EOGVerticalSignal,362,362,12,1250,55927.70249,7877.039281,2826.905207,650.5923943,892.9175934,928.4159244,528.3665362,649.395552,483.8246925,604.1567451,429.1168749,126.1808816,278.1102343,34070.59327,24325.10557,22395.51644,24550.96502,,2699.553902,1798.991764,1553.463385,726.1122463,998.0819583,7141.036652,5255.658498,13310.79497,12831.93726,5204.10472,25337.47629,15821.01474,22202.82693,20926.35797,14656.89808,2570.09826,767.7191385,750.7129349,543.2967676,1011.017856
Earthquakes,322,139,2,512,9108.699661,6951.875208,1053.838363,186.0404513,451.277114,196.5724633,108.6092932,112.0859592,76.61831075,107.4216052,94.89656341,34.0637892,74.42335985,6603.183156,5348.791044,5069.497983,3160.044977,5741.05551,2138.05788,597.7503851,673.5344436,405.936539,416.1161507,2826.986168,824.8806798,1747.912266,1659.381881,623.0043008,1547.367606,897.6113426,1726.164114,1576.453945,287.9999483,1128.322325,398.3098078,484.0941794,269.8370725,265.4227272
ElectricDevices,8926,7711,7,96,248452.4644,43843.84139,35100.58178,1700.326334,2165.224942,3374.579908,1299.438349,1209.95658,1941.233028,1176.587876,1130.297202,790.8857289,2288.675706,28079.31337,21636.97139,25774.58079,32113.66962,33300.53088,22375.60504,10276.49685,9152.459713,4889.741261,10742.64077,14211.33982,4127.083057,23186.4825,18677.41331,3955.807067,33276.10662,19541.70658,47332.76354,43743.49013,6899.917307,16589.29598,6298.140967,8270.025136,5257.691213,7936.984995
EthanolLevel,504,500,4,1751,245499.0646,46066.0012,15215.66404,2306.753321,4142.888326,3210.817667,1688.662918,1515.222013,1830.685423,1378.805474,1014.234665,408.084191,436.900008,137776.3338,101605.4758,108615.7852,76810.95419,85851.93732,42718.13505,9395.560769,3283.756621,234.5982469,278.9384248,34270.99448,9428.914606,12450.31521,11701.80215,6882.616582,51539.79577,31557.75082,16905.37192,14189.64176,14978.5588,1923.199244,547.1948836,442.0488346,321.9329945,478.4462433
FaceAll,560,1690,14,131,1800.730232,1401.772666,258.6588374,30.24402034,34.3681574,35.45179215,23.16600004,12.80048606,21.76346583,12.06434714,10.33112378,4.700616327,20.0196832,578.2244532,520.6911967,440.3201663,348.6396704,571.6872967,412.300644,137.8608444,80.23152889,32.65528952,94.1013364,265.6643397,102.6768242,465.2832625,421.3883226,66.7199718,279.9958197,160.9378983,424.4985595,403.6101581,81.67090583,228.7406602,112.8372761,108.7087671,63.05503925,94.94563844
FaceFour,24,88,4,350,24.65414371,21.06663768,7.793839283,0.622735663,1.051012928,0.594966672,0.359023564,0.513015694,0.261538491,0.422362191,0.316842062,0.216513493,0.244157751,17.55245261,13.3799035,11.9238774,8.550288864,13.96263207,6.71020084,2.132479985,2.188294837,1.453121009,1.603841056,18.56312821,6.619608285,9.391099354,9.808171749,3.997410164,13.32332288,7.565564536,15.06540527,14.8048525,7.564608631,3.130059458,1.107907231,1.350552641,0.801373976,1.106513666
FacesUCR,200,2050,14,131,295.6635342,183.1923307,56.77258215,3.595767614,5.660055367,4.755196967,2.69480332,2.451336915,2.90761791,2.24327092,1.912252393,1.403908368,2.782024793,86.22397814,76.91671393,61.83572542,50.47329848,84.1216681,52.19316208,18.66604674,18.02907026,10.61306345,14.3610211,55.52939941,20.08217011,96.23539448,86.94239444,12.52696818,42.61215352,24.90355759,109.1987865,104.2896977,19.92239599,34.90634857,15.29416412,17.15890649,10.08633374,13.91371964
FiftyWords,450,455,50,270,4233.374688,1494.612456,232.3155371,61.76302079,76.46072849,80.10290623,45.82880363,39.78371962,41.53632193,37.49674359,31.98238039,13.38284988,38.79984194,2121.443481,1531.571572,1758.363494,1259.158748,1603.637876,617.3347161,208.442811,169.8050861,71.72650351,145.8324004,1349.215566,380.6338273,1153.436672,1210.077436,365.055833,2120.209437,1230.243929,2315.873808,2144.467175,1176.654128,396.126125,155.7024395,169.8389762,96.11271092,135.3963794
Fish,175,175,7,463,1815.385272,1067.488071,58.75667519,27.13535768,29.5157283,34.8969373,19.84505161,9.55008153,17.00905457,8.560755794,7.990318114,1.896560588,5.390457012,1269.317346,919.8127735,997.8811061,654.1950125,798.6430375,385.0681673,91.28268778,42.11008639,10.60751894,15.38865861,659.3046637,175.438518,191.7971482,201.4425388,142.3018018,714.9883862,417.2140702,372.7423963,332.8406172,297.134633,53.57566666,17.52969323,13.26281403,6.8037985,14.20157198
FordA,3601,1320,2,500,455567.9515,160375.01,141462.5365,17874.97797,28163.98428,18940.69588,13703.02204,8554.064467,11120.54309,7804.382795,6535.793082,3109.404682,11406.36455,767130.2086,668555.9294,625940.7232,379530.0521,694735.6805,226690.6648,69806.38751,58818.64963,32657.73132,53495.41107,438974.3296,147350.5208,535644.1947,509741.0625,123486.8034,397552.9064,236136.7625,662933.4005,623315.2587,226774.4517,129242.2564,55344.89409,75736.95772,45317.48683,43136.20602
