dataset_name,classifier_name,train_time_0,train_time_1,train_time_2,train_time_3,train_time_4,train_time,train_time_std
PigCVP,UCRSuite_LOOCV,10036.372810468,,,,,10036.372810468,0.0
DiatomSizeReduction,UCRSuite_LOOCV,4.108265401,,,,,4.108265401,0.0
GestureMidAirD1,UCRSuite_LOOCV,284.76652821,,,,,284.76652821,0.0
GestureMidAirD2,UCRSuite_LOOCV,208.191939499,,,,,208.191939499,0.0
GestureMidAirD3,UCRSuite_LOOCV,278.686119595,,,,,278.686119595,0.0
Fish,UCRSuite_LOOCV,1067.488070716,,,,,1067.488070716,0.0
PowerCons,UCRSuite_LOOCV,137.280185532,,,,,137.280185532,0.0
Chinatown,UCRSuite_LOOCV,0.405769017,,,,,0.405769017,0.0
OSULeaf,UCRSuite_LOOCV,1273.310176528,,,,,1273.310176528,0.0
GunPointAgeSpan,UCRSuite_LOOCV,21.994946694,,,,,21.994946694,0.0
GunPointMaleVersusFemale,UCRSuite_LOOCV,35.081020381,,,,,35.081020381,0.0
GunPointOldVersusYoung,UCRSuite_LOOCV,23.595156871,,,,,23.595156871,0.0
Earthquakes,UCRSuite_LOOCV,6951.875208221,,,,,6951.875208221,0.0
Haptics,UCRSuite_LOOCV,2742.967896399,,,,,2742.967896399,0.0
Computers,UCRSuite_LOOCV,2748.472074699,,,,,2748.472074699,0.0
DistalPhalanxOutlineAgeGroup,UCRSuite_LOOCV,230.640662795,,,,,230.640662795,0.0
DistalPhalanxTW,UCRSuite_LOOCV,192.88186342,,,,,192.88186342,0.0
MiddlePhalanxTW,UCRSuite_LOOCV,164.716179288,,,,,164.716179288,0.0
MiddlePhalanxOutlineAgeGroup,UCRSuite_LOOCV,222.110849134,,,,,222.110849134,0.0
SyntheticControl,UCRSuite_LOOCV,110.783559962,,,,,110.783559962,0.0
ProximalPhalanxOutlineAgeGroup,UCRSuite_LOOCV,230.25698929,,,,,230.25698929,0.0
ProximalPhalanxTW,UCRSuite_LOOCV,158.150308145,,,,,158.150308145,0.0
SonyAIBORobotSurface1,UCRSuite_LOOCV,1.610973494,,,,,1.610973494,0.0
InlineSkate,UCRSuite_LOOCV,2439.864350087,,,,,2439.864350087,0.0
EOGHorizontalSignal,UCRSuite_LOOCV,8553.020669348,,,,,8553.020669348,0.0
EOGVerticalSignal,UCRSuite_LOOCV,7877.03928069,,,,,7877.03928069,0.0
LargeKitchenAppliances,UCRSuite_LOOCV,6167.352671422,,,,,6167.352671422,0.0
RefrigerationDevices,UCRSuite_LOOCV,13116.853359939,,,,,13116.853359939,0.0
ScreenType,UCRSuite_LOOCV,5346.909440478,,,,,5346.909440478,0.0
SmallKitchenAppliances,UCRSuite_LOOCV,8099.251517616,,,,,8099.251517616,0.0
CricketX,UCRSuite_LOOCV,1887.609199524,,,,,1887.609199524,0.0
CricketY,UCRSuite_LOOCV,1931.413197455,,,,,1931.413197455,0.0
CricketZ,UCRSuite_LOOCV,1773.105441292,,,,,1773.105441292,0.0
Adiac,UCRSuite_LOOCV,432.025457234,,,,,432.025457234,0.0
DistalPhalanxOutlineCorrect,UCRSuite_LOOCV,353.178013852,,,,,353.178013852,0.0
ECGFiveDays,UCRSuite_LOOCV,2.165706075,,,,,2.165706075,0.0
MiddlePhalanxOutlineCorrect,UCRSuite_LOOCV,371.254957043,,,,,371.254957043,0.0
ProximalPhalanxOutlineCorrect,UCRSuite_LOOCV,388.244877112,,,,,388.244877112,0.0
SemgHandGenderCh2,UCRSuite_LOOCV,39346.221913476,,,,,39346.221913476,0.0
SemgHandMovementCh2,UCRSuite_LOOCV,81935.22086428,,,,,81935.22086428,0.0
